Author,Site,Lon,Lat,Country,State_City,MAT_original,MAP_original,MAT,MAP,Elevation,SoilOrder_LEN_USDA_original,SoilOrder_LEN_USDA,Suborder,SoilOrder,SoilTextureClass,VegLocal,VegType_Species,VegTypeCode_Local_original,VegTypeCode_Local,VegTypeCodeStr_Local,clim_code_whittaker,clim_code,ParentMaterial,Slope,SlopePosition,Aspect,Abovegd_litterfall,DrainedClass,Core_Layer_Name,Hzn1,Hzn2,Hzn3,HorizonDesignation,Layer_top,Layer_bottom,Layer_top_norm,Layer_bottom_norm,ProfileID,ProfileZeroDesignation,d13C,D14C_BulkLayer_text,D14C_BulkLayer,D14C_err,14C_age,14C_age_sigma,TT,Terrace Age,FractionModern,FractionModern_sigma,SampleYear,Measurement_Year,BulkDensity_original,BulkDensity,SpecificSurfaceArea,PH_H2O,pct_C_original,pct_C,pct_N,CN,Cmass,sand_pct,silt_pct,clay_pct,cation_exch,Fe_d,Fe_o,Fep,Alp,Ald,Alo,Feo and Alo,Fep,Alp,Feo,Alo,Fed,Ald,Al,Fe,Fe-oxideMinerals,Smectite,nonxtalline,poorly_crystalline_aluminosilicate,noncrystalline_minerals_pct_weight,notes,reference,doi,title,USDA classificiation,Brazilian classification,FAO classification ,AMS lab ,number,avail P extr with HCl_H2SO4,Ext Ca_withKCl,Ext Mg_with_KCl,Ext Al _with_KCl
Baisden_and_Parfitt_BGC2007,Judgeford,174.95,-41.11,NewZealand,,12.6,1290,12.6,1290,79,Ept,Ept,Dystric cambisol,,see harden bulletin 1590,grassland,,4,4,grassland,6,5,quartz/feldspathic loess,5,,270,,Moderately good,,B,Bw,f,Bwf,30,40,30,40,124,top of mineral soil,,-120,-120,,,,,15,,,1974,,1.4,1.4,,,1.4,1.4,,,0.0196,,,,,,,,,,,,,,,,,,,,,,,,,,Baisden_and_Parfitt_BGC2007,, Bomb 14C enrichment indicates decadal C pool in deep soil?,,,,,,,,,
Baisden_and_Parfitt_BGC2007,Judgeford,174.95,-41.11,NewZealand,,12.6,1290,12.6,1290,79,Ept,Ept,Dystric cambisol,,see harden bulletin 1590,grassland,,4,4,grassland,6,5,quartz/feldspathic loess,5,,270,,Moderately good,,B,Bw,f,Bwf,40,60,40,60,124,top of mineral soil,,-150,-150,,,,,15,,,1974,,1.42,1.42,,,1,1,,,0.0142,,,,,,,,,,,,,,,,,,,,,,,,,,Baisden_and_Parfitt_BGC2007,, Bomb 14C enrichment indicates decadal C pool in deep soil?,,,,,,,,,
Baisden_and_Parfitt_BGC2007,Judgeford,174.95,-41.11,NewZealand,,12.6,1290,12.6,1290,79,Ept,Ept,Dystric cambisol,,see harden bulletin 1590,grassland,,4,4,grassland,6,5,quartz/feldspathic loess,5,,270,,Moderately good,,BC,,,BC,60,80,60,80,124,top of mineral soil,,-350,-350,,,,,15,,,1974,,1.43,1.43,,,0.7,0.7,,,0.01001,,,,,,,,,,,,,,,,,,,,,,,,,,Baisden_and_Parfitt_BGC2007,, Bomb 14C enrichment indicates decadal C pool in deep soil?,,,,,,,,,
Baisden_and_Parfitt_BGC2007,Judgeford,174.95,-41.11,NewZealand,,12.6,1290,12.6,1290,79,Ept,Ept,Dystric cambisol,,see harden bulletin 1590,grassland,,4,4,grassland,6,5,quartz/feldspathic loess,5,,270,,Moderately good,,C,,,C,80,130,80,130,124,top of mineral soil,,-520,-520,,,,,15,,,1974,,1.5,1.5,,,0.7,0.7,,,0.0105,,,,,,,,,,,,,,,,,,,,,,,,,,Baisden_and_Parfitt_BGC2007,, Bomb 14C enrichment indicates decadal C pool in deep soil?,,,,,,,,,
Lassey_1996RadC,Judgeford,174.95,-41.11,NewZealand,,13,1145,13,1145,60,Ept,Ept,Dystric cambisol,,,"Browntop, Yorkshire fog, cocksfoot",,4,4,grassland,2,5,Moderately weathered loess from greywacke plus volcanic ash,5,,270,,Moderately good,,A,Ap,,Ap1,0,8,0,8,115,top of mineral soil,,-34.9,-34.9,,,,,15,,,1959,,0.94,0.94,,4.5,7.1,7.1,0.48,,0.06674,31,33,23,,,,,,,,,,,,,,,,,,,,,,,Lassey_1996RadC,,Historic measurements of radiocarbon in New Zealand soils,,,,,,,,,
Lassey_1996RadC,Judgeford,174.95,-41.11,NewZealand,,13,1145,13,1145,60,Ept,Ept,Dystric cambisol,,,"Browntop, Yorkshire fog, cocksfoot",,4,4,grassland,2,5,Moderately weathered loess from greywacke plus volcanic ash,5,,270,,Moderately good,,A,Ap,,Ap2,8,20,8,20,115,top of mineral soil,,-44,-44,,,,,15,,,1959,,1.05,1.05,,5.4,4.2,4.2,0.31,,0.0441,32,36,32,,,,,,,,,,,,,,,,,,,,,,,Lassey_1996RadC,,Historic measurements of radiocarbon in New Zealand soils,,,,,,,,,
Lassey_1996RadC,Judgeford,174.95,-41.11,NewZealand,,13,1145,13,1145,60,Ept,Ept,Dystric cambisol,,,"Browntop, Yorkshire fog, cocksfoot",,4,4,grassland,2,5,Moderately weathered loess from greywacke plus volcanic ash,5,,270,,Moderately good,,B,Bw,,Bw,20,43,20,43,115,top of mineral soil,,-140.2,-140.2,,,,,15,,,1959,,1.31,1.31,,5.4,1.9,1.9,0.12,,0.02489,39,33,22,,,,,,,,,,,,,,,,,,,,,,,Lassey_1996RadC,,Historic measurements of radiocarbon in New Zealand soils,,,,,,,,,
Lassey_1996RadC,Judgeford,174.95,-41.11,NewZealand,,13,1145,13,1145,60,Ept,Ept,Dystric cambisol,,,"Browntop, Yorkshire fog, cocksfoot",,4,4,grassland,2,5,Moderately weathered loess from greywacke plus volcanic ash,5,,270,,Moderately good,,B,Bw,f,Bwf,43,53,43,53,115,top of mineral soil,,-350,-350,,,,,15,,,1959,,1.38,1.38,,5.6,1,1,0.08,,0.0138,41,32,27,,,,,,,,,,,,,,,,,,,,,,,Lassey_1996RadC,,Historic measurements of radiocarbon in New Zealand soils,,,,,,,,,
Lassey_1996RadC,Judgeford,174.95,-41.11,NewZealand,,13,1145,13,1145,60,Ept,Ept,Dystric cambisol,,,"Browntop, Yorkshire fog, cocksfoot",,4,4,grassland,2,5,Moderately weathered loess from greywacke plus volcanic ash,5,,270,,Moderately good,,BC,,,BC,53,74,53,74,115,top of mineral soil,,-457.1,-457.1,,,,,15,,,1959,,1.42,1.42,,5.5,0.7,0.7,0.07,,0.00994,39,34,27,,,,,,,,,,,,,,,,,,,,,,,Lassey_1996RadC,,Historic measurements of radiocarbon in New Zealand soils,,,,,,,,,
OêBrien_1986_Radiocarbon,lawn soil,174.9,-41.2,New-Zealand,Hutt Valley,,,12.56060606,1396.736364,140,,nan,,,,garden,,4,4,grassland,6,5,,,,,,,,,,,,0,10,0,10,300,top of mineral soil,,77,77,,1082,,,,107.2,,1985,,1.06,1.06,,,2.5,2.5,,,0.0265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
